filename,path,kelas_asli,label,H_mean,S_mean,V_mean,H_std,S_std,V_std,H_median,S_median,V_median
M16-LBA-AN_frame_2675.jpg,Dataset_air/Dataset\Class 3\M16-LBA-AN_frame_2675.jpg,Class 3,Keruh,49.099544,4.807904,169.05036,4.892836701961756,1.1805164661215022,6.532843781264022,50.0,5.0,170.0
M33-LBA-AN_frame_1691.jpg,Dataset_air/Dataset\Class 5\M33-LBA-AN_frame_1691.jpg,Class 5,Kotor,16.856724,105.016308,130.712016,0.3633565574253477,3.480408316438748,3.4894505607249977,17.0,106.0,130.0
M19-LBA-AN_frame_3179.jpg,Dataset_air/Dataset\Class 3\M19-LBA-AN_frame_3179.jpg,Class 3,Keruh,22.187628,20.029868,162.202248,5.812308984699283,3.6681123077921156,4.157946578119541,21.0,20.0,162.0
M20-LBA-AN_frame_0899.jpg,Dataset_air/Dataset\Class 3\M20-LBA-AN_frame_0899.jpg,Class 3,Keruh,16.8792,23.5501,161.855588,2.2385511743089546,1.9543576924401531,5.410314332296784,16.0,23.0,162.0
M2-LBA-AN_frame_1199.jpg,Dataset_air/Dataset\Class 1\M2-LBA-AN_frame_1199.jpg,Class 1,Jernih,39.869144,6.564284,171.132412,11.911170081367489,2.223211093743462,7.8099761243076795,36.0,7.0,172.0
M14-LBA-AN_frame_0647.jpg,Dataset_air/Dataset\Class 3\M14-LBA-AN_frame_0647.jpg,Class 3,Keruh,33.156672,12.024848,167.176432,2.604402020506051,1.1560858864703782,6.803149252322487,34.0,12.0,168.0
M19-LBA-AN_frame_0911.jpg,Dataset_air/Dataset\Class 3\M19-LBA-AN_frame_0911.jpg,Class 3,Keruh,18.69036,22.452816,165.80918,3.63777446667602,3.045754696318139,4.444168282997394,18.0,23.0,166.0
M5-LBA-AN_frame_1307.jpg,Dataset_air/Dataset\Class 2\M5-LBA-AN_frame_1307.jpg,Class 2,Jernih,71.37856,3.0972,170.70042,16.357989250711714,0.9998480684584033,6.87333454908169,75.0,3.0,172.0
M22-LBA-AN_frame_5315.jpg,Dataset_air/Dataset\Class 4\M22-LBA-AN_frame_5315.jpg,Class 4,Kotor,17.991684,39.090404,152.591616,1.4397495768862028,2.4378086710781877,4.6489403640554485,19.0,40.0,153.0
M30-LBA-AN_frame_1571.jpg,Dataset_air/Dataset\Class 5\M30-LBA-AN_frame_1571.jpg,Class 5,Kotor,17.436956,96.653608,131.138252,0.8416516227418562,3.3452767572109785,2.815258848577871,18.0,95.0,131.0
M4-LBA-AN_frame_0587.jpg,Dataset_air/Dataset\Class 1\M4-LBA-AN_frame_0587.jpg,Class 1,Jernih,33.33598,7.488424,167.196208,11.25798887189004,2.803772101334914,6.764225189978228,35.0,8.0,167.0
M18-LBA-AN_frame_2603.jpg,Dataset_air/Dataset\Class 3\M18-LBA-AN_frame_2603.jpg,Class 3,Keruh,17.696128,23.247132,166.185348,2.6454817723084014,2.69354520559355,5.442809028332337,16.0,23.0,166.0
M21-LBA-AN_frame_3059.jpg,Dataset_air/Dataset\Class 4\M21-LBA-AN_frame_3059.jpg,Class 4,Kotor,22.923716,25.603756,160.139988,0.5765281878139177,1.3357764380554105,5.80439896628893,23.0,26.0,160.0
M12-LBA-AN_frame_3923.jpg,Dataset_air/Dataset\Class 2\M12-LBA-AN_frame_3923.jpg,Class 2,Jernih,33.696748,11.504568,170.00584,2.3756435390217954,1.3523354367079197,6.915764447579168,34.0,12.0,171.0
M12-LBA-AN_frame_1775.jpg,Dataset_air/Dataset\Class 2\M12-LBA-AN_frame_1775.jpg,Class 2,Jernih,33.537624,11.37096,170.324208,2.878455216713298,1.4550232569962585,6.552884034738903,34.0,12.0,171.0
M30-LBA-AN_frame_0659.jpg,Dataset_air/Dataset\Class 5\M30-LBA-AN_frame_0659.jpg,Class 5,Kotor,17.244452,96.601152,132.157556,0.894377559924219,3.951914001201949,4.014383652176757,18.0,96.0,132.0
M0-LBA-AN_frame_3167.jpg,Dataset_air/Dataset\Class 1\M0-LBA-AN_frame_3167.jpg,Class 1,Jernih,105.773068,9.500392,173.449508,5.773194771300896,1.7218129533535285,6.979055706751164,103.0,10.0,174.0
M31-LBA-AN_frame_1235.jpg,Dataset_air/Dataset\Class 5\M31-LBA-AN_frame_1235.jpg,Class 5,Kotor,16.764772,100.787944,133.800348,0.6680357685154291,3.7140533454521085,3.2610708484937887,17.0,101.0,134.0
M18-LBA-AN_frame_0707.jpg,Dataset_air/Dataset\Class 3\M18-LBA-AN_frame_0707.jpg,Class 3,Keruh,17.306412,25.022668,165.714084,1.1849403724474916,2.125610068139498,5.631111439222633,18.0,26.0,166.0
M20-LBA-AN_frame_3335.jpg,Dataset_air/Dataset\Class 3\M20-LBA-AN_frame_3335.jpg,Class 3,Keruh,18.571844,22.49208,161.497248,3.9361999999573194,2.8817885546306137,5.41162234699503,16.0,23.0,162.0
M15-LBA-AN_frame_1067.jpg,Dataset_air/Dataset\Class 3\M15-LBA-AN_frame_1067.jpg,Class 3,Keruh,31.00706,12.243008,166.12256,3.447345958327942,1.430360483212536,6.441310662155645,30.0,12.0,166.0
M19-LBA-AN_frame_0563.jpg,Dataset_air/Dataset\Class 3\M19-LBA-AN_frame_0563.jpg,Class 3,Keruh,18.324108,22.835312,164.556504,3.5456178593209953,3.143643405772353,4.8443657271085545,16.0,23.0,165.0
M29-LBA-AN_frame_1799.jpg,Dataset_air/Dataset\Class 5\M29-LBA-AN_frame_1799.jpg,Class 5,Kotor,18.79014,40.195616,153.639008,0.8110109619481107,2.517420580781845,4.606673070224976,19.0,40.0,154.0
M28-LBA-AN_frame_0503.jpg,Dataset_air/Dataset\Class 4\M28-LBA-AN_frame_0503.jpg,Class 4,Kotor,19.343104,59.90986,141.62692,0.8033826268870892,2.664291046488728,3.666181025754184,19.0,60.0,141.0
M28-LBA-AN_frame_2915.jpg,Dataset_air/Dataset\Class 4\M28-LBA-AN_frame_2915.jpg,Class 4,Kotor,19.30478,60.869508,140.422964,0.7332892687064225,2.4394031724862537,3.658242399664626,19.0,61.0,141.0
M10-LBA-AN_frame_2507.jpg,Dataset_air/Dataset\Class 2\M10-LBA-AN_frame_2507.jpg,Class 2,Jernih,32.936028,11.279132,174.315844,3.394798312597672,1.2635289179816978,7.496125837235124,34.0,11.0,175.0
M17-LBA-AN_frame_2735.jpg,Dataset_air/Dataset\Class 3\M17-LBA-AN_frame_2735.jpg,Class 3,Keruh,28.458584,11.66662,161.15518,2.5782545869141784,2.0658184275487526,5.380748197750941,30.0,13.0,161.0
M3-LBA-AN_frame_1379.jpg,Dataset_air/Dataset\Class 1\M3-LBA-AN_frame_1379.jpg,Class 1,Jernih,76.387296,3.1199,167.832048,7.024624246775339,0.6234324261698295,6.987705211705485,75.0,3.0,168.0
M22-LBA-AN_frame_1391.jpg,Dataset_air/Dataset\Class 4\M22-LBA-AN_frame_1391.jpg,Class 4,Kotor,17.392144,38.454632,152.453228,1.5177453947431367,2.565668284205111,4.762629985629369,16.0,38.0,153.0
M5-LBA-AN_frame_2627.jpg,Dataset_air/Dataset\Class 2\M5-LBA-AN_frame_2627.jpg,Class 2,Jernih,74.491712,3.022332,168.572688,5.796002355853213,0.33154378560908065,6.183781727604558,75.0,3.0,169.0
M21-LBA-AN_frame_3503.jpg,Dataset_air/Dataset\Class 4\M21-LBA-AN_frame_3503.jpg,Class 4,Kotor,22.907804,25.559176,160.419212,0.6770169108552607,1.3520540673449417,5.845021924600112,23.0,26.0,160.0
M26-LBA-AN_frame_2843.jpg,Dataset_air/Dataset\Class 4\M26-LBA-AN_frame_2843.jpg,Class 4,Kotor,18.525404,44.554516,147.80968,1.0751644696435985,4.383271381712978,3.8197311813267696,19.0,42.0,148.0
M2-LBA-AN_frame_3323.jpg,Dataset_air/Dataset\Class 1\M2-LBA-AN_frame_3323.jpg,Class 1,Jernih,37.556824,7.32572,170.078344,12.145479283792138,2.5033710235600313,7.303480691948463,35.0,8.0,171.0
M32-LBA-AN_frame_0035.jpg,Dataset_air/Dataset\Class 5\M32-LBA-AN_frame_0035.jpg,Class 5,Kotor,17.565684,78.5631,137.339276,0.5938464550235187,3.1941450170585557,3.3917499606875507,18.0,78.0,137.0
